Amount,AmountIncludingVAT,Description,DocumentNo,BilltoCustomerNo,Quantity,PostingDate,LocationCode,GSTAssessableValueLCY,InvDiscountAmount,ItemCategoryCode,no,billToName,billToCity,state
0.0,0.0,Shipment No. DS25-04039:,SINV25-04501,,0.0,2026-02-16,,0,0,,SINV25-04501,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04501,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04501,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04041:,SINV25-04502,,0.0,2026-02-16,,0,0,,SINV25-04502,OSWAL PUMPS LIMITED,KUTAIL,HR
2562560.0,2562560.0,SOLAR PANEL 520 WP MONO HALF CUT DCR,SINV25-04502,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04502,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04043:,SINV25-04503,,0.0,2026-02-16,,0,0,,SINV25-04503,OSWAL PUMPS LIMITED,KUTAIL,HR
263120.0,263120.0,SOLAR PANEL 520 WP MONO HALF CUT DCR,SINV25-04503,C000106,23.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04503,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04044:,SINV25-04504,,0.0,2026-02-17,,0,0,,SINV25-04504,OSWAL PUMPS LIMITED,KUTAIL,HR
1451520.0,1451520.0,SOLAR PANEL 540 WP MONO HALF CUT NON DCR,SINV25-04504,C000106,224.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04504,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04045:,SINV25-04505,,0.0,2026-02-17,,0,0,,SINV25-04505,OSWAL PUMPS LIMITED,KUTAIL,HR
1451520.0,1451520.0,SOLAR PANEL 540 WP MONO HALF CUT NON DCR,SINV25-04505,C000106,224.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04505,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04046:,SINV25-04506,,0.0,2026-02-17,,0,0,,SINV25-04506,OSWAL PUMPS LIMITED,KUTAIL,HR
605880.0,605880.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04506,C000106,51.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04506,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04047:,SINV25-04507,,0.0,2026-02-17,,0,0,,SINV25-04507,OSWAL PUMPS LIMITED,KUTAIL,HR
