no,billToName,billToCity,state
SINV25-00189,FBI MULTI VENTURES,CHADOORA,JK
SINV25-00190,FBI MULTI VENTURES,CHADOORA,JK
SINV25-00191,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00192,HARYANA CERAMIC & ALLIED PRODUCTS IND,AMBALA CITY,HR
SINV25-00193,AGGARWAL MACHINARY STORE,SARDULGARH,PB
SINV25-00194,CHANDIGARH ENERGY PVT LTD,CHANDIGARH,CH
SINV25-00195,ASHA ELESYS PRIVATE LIMITED,GREATER NOIDA,UP
SINV25-00196,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00197,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00198,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00199,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00200,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00201,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00202,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00203,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00204,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00205,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-00206,JIYA TRADING CO.,KARNAL,HR
SINV25-00207,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00208,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00209,LALA MELI RAM AND SONS,NARWANA,HR
SINV25-00210,LALA MELI RAM AND SONS,NARWANA,HR
SINV25-00211,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00212,DOON INFRAPOWER PROJECTS PRIVATE LIMITED,JAIPUR,RJ
SINV25-00213,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00214,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00215,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00216,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00217,RAJDEEP ECO CARE,LADWA,HR
SINV25-00218,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00219,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00220,D S ENTERPRISES,AMRITSAR,PB
SINV25-00221,UNIK AND HPR SOLAR,SHRI GANGANAGAR,RJ
SINV25-00222,TANYA ENTERPRISES,DELHI,DL
SINV25-00223,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00224,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00225,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
SINV25-00226,TNK ENTERPRISES,ROPAR,PB
